epoch,time(s),train_loss,test_loss,test_error(%)
002,01113,1.907059,0.75118,25.59
001,00155,2.197515,0.98811,34.95
002,00148,1.975265,0.73357,25.67
003,00118,1.807216,0.61323,21.22
004,00116,1.694592,0.52048,17.62
005,00115,1.637893,0.46831,15.80
