epoch,time(s),train_loss,test_loss,test_error(%)
001,00211,0.973771,1.03877,36.56
002,00196,0.725881,0.77102,27.12
003,00195,0.586029,0.57964,20.09
004,00195,0.512400,0.49244,17.31
005,00191,0.397019,0.47383,16.35
